timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1463252400,May 14 2016 - 7:00pm,complete,9382,Flamengo,Sport Recife,N/A,1,0.00,0.00,2.16,0.63,1,0,1,1,1,0,"5","",4,4,2,0,1,1,0,2,0,2,11,2,5,2,6,0,18,16,56,44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.74,5.73,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Municipal General Raulino de Oliveira
1463252400,May 14 2016 - 7:00pm,complete,33629,Palmeiras,Atlético PR,N/A,1,0.00,0.00,2.42,0.47,4,0,4,1,1,0,"19,46,52,87","",8,1,1,0,4,1,1,0,2,3,8,4,4,2,4,2,13,17,60,40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.84,5.87,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Parque
1463261400,May 14 2016 - 9:30pm,complete,5403,Atlético Mineiro,Santos,N/A,1,0.00,0.00,2.21,1.26,1,0,1,1,1,0,"15","",4,2,2,0,2,0,1,1,0,2,14,10,6,5,8,5,18,11,46,54,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.41,3.23,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Raimundo Sampaio
1463270400,May 15 2016 - 12:00am,complete,6028,Coritiba,Cruzeiro,N/A,1,0.00,0.00,1.79,1.21,1,0,1,0,0,0,"71","",5,0,1,0,3,2,0,1,0,5,7,5,3,2,4,3,19,22,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.47,5.32,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Major Antônio Couto Pereira
1463320800,May 15 2016 - 2:00pm,complete,5465,Botafogo,São Paulo,N/A,1,0.00,0.00,1.84,1.05,0,1,1,1,0,1,"","22",7,4,1,0,5,0,0,1,3,2,12,5,6,3,6,2,7,10,65,35,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.33,3.78,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Municipal General Raulino de Oliveira
1463320800,May 15 2016 - 2:00pm,complete,20038,Santa Cruz,Vitória,N/A,1,0.00,0.00,1.21,0.89,4,1,5,2,2,0,"28,44,85,87","80",6,1,3,0,0,0,2,1,0,0,3,5,2,2,1,3,10,15,46,54,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.50,3.97,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Jóse do Rego Maciel
1463338800,May 15 2016 - 7:00pm,complete,31533,Corinthians,Grêmio,N/A,1,0.00,0.00,1.95,0.84,0,0,0,0,0,0,"","",10,2,1,0,4,0,0,1,0,4,15,6,4,3,11,3,12,20,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.47,5.32,0.00,0.00,0.00,0.00,0.00,0.00,Arena Corinthians
1463338800,May 15 2016 - 7:00pm,complete,5458,Figueirense,Ponte Preta,N/A,1,0.00,0.00,1.58,0.63,0,0,0,0,0,0,"","",6,9,2,0,5,0,2,0,2,3,11,14,6,3,5,11,7,19,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.28,3.70,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Orlando Scarpelli
1463338800,May 15 2016 - 7:00pm,complete,2078,América Mineiro,Fluminense,N/A,1,0.00,0.00,1.26,1.05,0,1,1,1,0,1,"","39",8,15,0,0,0,0,0,0,0,0,14,9,4,3,10,6,8,9,40,60,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.44,3.32,3.18,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Raimundo Sampaio
1463347800,May 15 2016 - 9:30pm,complete,18218,Internacional,Chapecoense,N/A,1,0.00,0.00,1.68,1.16,0,0,0,0,0,0,"","",9,4,3,0,4,1,2,1,2,3,10,6,7,3,3,3,14,19,58,42,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,3.75,6.77,0.00,0.00,0.00,0.00,0.00,0.00,Estádio José Pinheiro Borda
1463857200,May 21 2016 - 7:00pm,complete,7061,Ponte Preta,Palmeiras,N/A,2,0.00,0.00,2.16,1.79,2,1,3,2,2,0,"24,33","90'1",4,6,3,0,4,0,0,3,1,3,6,8,4,5,2,3,20,16,35,65,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.31,2.19,0.00,0.00,0.00,0.00,0.00,0.00,Estádio Moisés Lucarelli
