timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1622325600,May 29 2021 - 10:00pm,complete,N/A,Cuiabá,Juventude,Denis Ribeiro Serafim,1,0.00,0.00,1.42,0.68,2,2,4,3,1,2,"29,87","43,45'1",9,1,1,0,3,0,0,1,0,3,17,8,3,3,14,5,13,14,59,41,0.00,0.00,1.73,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.20,3.50,1.51,2.40,4.25,8.50,2.15,1.65,Arena Pantanal (Cuiabá- Mato Grosso)
1622329200,May 29 2021 - 11:00pm,complete,N/A,Bahia,Santos,Bruno Arleu de Araujo,1,0.00,0.00,1.53,0.89,3,0,3,0,0,0,"46,49,53","",4,11,3,0,3,0,1,2,1,2,7,13,4,3,3,10,18,10,34,66,0.00,0.00,0.89,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.25,3.25,1.40,2.10,3.50,6.75,1.91,1.87,Estádio Governador Roberto Santos (Salvador de Bahia- Bahia)
1622332800,May 30 2021 - 12:00am,complete,N/A,São Paulo,Fluminense,Rodolpho Toski Marques,1,0.00,0.00,1.58,0.84,0,0,0,0,0,0,"","",4,5,1,0,2,0,1,0,1,1,10,13,4,5,6,8,8,10,71,29,0.00,0.00,1.46,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.35,5.50,1.56,2.55,4.80,9.50,2.40,1.54,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1622383200,May 30 2021 - 2:00pm,complete,N/A,Atlético Mineiro,Fortaleza,Caio Max Augusto Vieira,1,0.00,0.00,2.74,1.11,1,2,3,1,1,0,"40","60,90'4",5,4,2,0,4,0,2,0,2,2,13,20,5,7,8,13,15,18,54,46,0.00,0.00,1.44,1.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,5.05,7.89,1.30,1.73,3.10,5.75,2.10,1.67,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1622401200,May 30 2021 - 7:00pm,complete,N/A,Flamengo,Palmeiras,Anderson Daronco,1,0.00,0.00,2.11,1.58,1,0,1,0,0,0,"75","",3,4,2,0,3,0,0,2,0,3,17,13,11,6,6,7,26,21,61,39,0.00,0.00,2.22,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,6.50,1.26,1.87,3.40,5.45,1.87,1.87,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1622401200,May 30 2021 - 7:00pm,complete,N/A,Ceará,Grêmio,Savio Pereira Sampaio,1,0.00,0.00,1.95,0.68,3,2,5,3,2,1,"36,42,90'4","45'5,49",5,4,3,0,3,0,0,3,0,3,11,14,4,4,7,10,16,20,35,65,0.00,0.00,1.21,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.00,2.55,1.38,2.15,4.10,8.00,2.05,1.71,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1622409300,May 30 2021 - 9:15pm,complete,N/A,Corinthians,Atlético GO,Felipe Fernandes de Lima,1,0.00,0.00,1.84,1.32,0,1,1,1,0,1,"","44",10,3,5,0,3,0,1,4,1,2,15,11,5,3,10,8,19,13,60,40,0.00,0.00,1.67,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.40,4.10,1.47,2.25,4.05,8.25,2.15,1.67,Neo Química Arena (São Paulo- São Paulo)
1622409300,May 30 2021 - 9:15pm,complete,N/A,Atlético PR,América Mineiro,Jefferson Ferreira de Moraes,1,0.00,0.00,1.53,1.05,1,0,1,0,0,0,"87","",3,1,1,0,2,0,1,0,1,1,11,16,5,5,6,11,11,7,56,44,0.00,0.00,1.35,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.05,3.30,1.61,2.60,4.80,9.75,2.30,1.57,Arena da Baixada (Curitiba- Paraná)
1622409300,May 30 2021 - 9:15pm,complete,N/A,Chapecoense,Bragantino,Marielson Alves Silva,1,0.00,0.00,0.32,1.37,0,3,3,2,0,2,"","33,35,74",5,7,1,0,0,0,1,0,0,0,11,21,3,12,8,9,9,11,43,57,0.00,0.00,1.14,2.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.70,3.20,2.10,1.43,2.15,3.65,7.00,1.91,1.87,Arena Condá (Chapecó- Santa Catarina)
1622417400,May 30 2021 - 11:30pm,complete,N/A,Internacional,Sport Recife,Vinicius Gonçalves Dias Araujo,1,0.00,0.00,1.58,0.84,2,2,4,2,2,0,"19,44","62,86",6,1,4,0,2,0,2,2,0,2,13,9,7,6,6,3,23,14,57,43,0.00,0.00,1.60,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,5.00,8.50,1.34,1.91,3.30,6.50,2.40,1.53,Estádio José Pinheiro Borda (Porto Alegre- Rio Grande do Sul)
1622930400,Jun 05 2021 - 10:00pm,complete,N/A,Atlético GO,São Paulo,Diego Pombo Lopez,2,0.00,0.00,1.47,0.95,2,0,2,1,1,0,"23,79","",3,12,4,0,5,0,1,3,1,4,10,14,5,5,5,9,16,15,37,63,0.00,0.00,1.17,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,2.95,2.35,1.61,2.60,4.70,9.50,2.25,1.61,Estádio Antônio Accioly (Goiânia- Goiás)
1622937600,Jun 06 2021 - 12:00am,complete,N/A,Santos,Ceará,Jean Pierre Goncalves Lima,2,0.00,0.00,1.74,0.68,3,1,4,2,1,1,"19,63,72","45'7",4,1,3,0,1,0,2,1,1,0,16,8,5,5,11,3,17,18,56,44,0.00,0.00,1.64,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.35,3.80,1.43,2.20,3.80,7.50,1.95,1.80,Estádio Urbano Caldeira (Santos- São Paulo)
1622937600,Jun 06 2021 - 12:00am,complete,N/A,Bragantino,Bahia,Vinicius Gomes do Amaral,2,0.00,0.00,1.58,0.74,3,3,6,3,1,2,"22,50,68","16,19,86",9,2,2,0,4,0,2,0,2,2,28,9,9,4,19,5,12,13,60,40,0.00,0.00,2.84,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.45,4.20,1.40,2.15,3.60,7.00,2.00,1.77,Estádio Nabi Abi Chedid (Bragança Paulista- São Paulo)
1622988000,Jun 06 2021 - 2:00pm,complete,N/A,Fluminense,Cuiabá,Edina Alves Batista,2,0.00,0.00,2.00,1.05,1,0,1,1,1,0,"40","",0,1,2,0,1,0,0,2,1,0,10,11,4,4,6,7,22,15,44,56,0.00,0.00,1.21,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.10,6.32,1.41,1.91,3.10,7.25,2.15,1.67,Estádio Club de Regatas Vasco da Gama (Rio de Janeiro- Rio de Janeiro)
1623006000,Jun 06 2021 - 7:00pm,complete,N/A,América Mineiro,Corinthians,Marcelo de Lima Henrique,2,0.00,0.00,1.74,1.16,0,1,1,1,0,1,"","29",6,4,2,0,3,0,1,1,0,3,11,7,6,5,5,2,12,18,55,45,0.00,0.00,1.51,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.09,3.25,2.46,1.49,2.55,4.45,9.00,2.15,1.67,Estádio Raimundo Sampaio (Belo Horizonte- Minas Gerais)
1623006000,Jun 06 2021 - 7:00pm,complete,N/A,Fortaleza,Internacional,Paulo Roberto Alves Júnior,2,0.00,0.00,1.95,0.95,5,1,6,2,2,0,"17,45'2,47,55,86","62",1,4,1,0,4,2,1,0,4,2,14,6,10,4,4,2,20,21,51,49,0.00,0.00,1.82,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.37,2.78,2.62,1.47,2.48,4.35,8.50,2.05,1.71,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1623014100,Jun 06 2021 - 9:15pm,complete,N/A,Palmeiras,Chapecoense,Leo Simão,2,0.00,0.00,1.89,0.47,3,1,4,3,3,0,"7,15,42","55",5,3,2,0,0,0,0,2,0,0,18,9,5,3,13,6,10,10,66,34,0.00,0.00,1.88,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,4.45,9.50,1.34,1.95,3.30,6.25,2.10,1.67,Allianz Parque (São Paulo- São Paulo)
1623014100,Jun 06 2021 - 9:15pm,complete,N/A,Juventude,Atlético PR,Paulo Cesar Zanovelli,2,0.00,0.00,1.74,0.95,0,3,3,0,0,0,"","47,49,89",5,1,0,0,2,0,0,0,0,2,15,12,2,6,13,6,15,27,58,42,0.00,0.00,1.40,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.10,2.30,1.50,2.35,4.10,8.25,2.10,1.69,Estádio Alfredo Jaconi (Caxias do Sul- Rio Grande do Sul)
1623022200,Jun 06 2021 - 11:30pm,complete,N/A,Sport Recife,Atlético Mineiro,Raphael Claus,2,0.00,0.00,1.16,1.68,0,1,1,1,0,1,"","14",4,7,3,0,2,0,1,2,1,1,10,11,2,2,8,9,19,16,48,52,0.00,0.00,0.98,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,3.50,1.69,1.41,2.10,3.70,7.25,2.10,1.71,Estádio Adelmar da Costa Carvalho (Recife- Pernambuco)
1623535200,Jun 12 2021 - 10:00pm,complete,N/A,Palmeiras,Corinthians,Flavio Rodrigues De Souza,3,3.00,3.00,1.89,1.16,1,1,2,1,1,0,"3","55",4,4,3,0,0,0,0,3,0,0,16,10,6,5,10,5,15,16,52,48,1.88,1.08,1.66,1.26,2.50,50,50,50,50,0,50,100,0,50,9.00,5.00,1.87,3.35,4.35,1.44,2.25,3.85,7.50,2.10,1.71,Allianz Parque (São Paulo- São Paulo)
1623535200,Jun 12 2021 - 10:00pm,complete,N/A,Santos,Juventude,Alexandre Vargas Tavares de Jesus,3,3.00,1.00,1.74,0.68,0,0,0,0,0,0,"","",8,0,2,0,3,0,2,0,1,2,19,4,3,0,16,4,14,20,76,25,1.64,0.93,1.86,0.42,4.00,100,100,100,100,0,100,100,50,100,5.00,6.00,1.65,3.75,5.50,1.36,2.05,3.45,6.50,2.00,1.77,Estádio Urbano Caldeira (Santos- São Paulo)
1623610800,Jun 13 2021 - 7:00pm,complete,N/A,Flamengo,América Mineiro,Ramon Abatti,3,3.00,0.00,2.11,1.05,2,0,2,1,1,0,"24,67","",4,2,0,0,0,0,0,0,0,0,21,10,6,2,15,8,17,17,65,36,2.22,1.58,2.17,0.92,1.00,0,0,0,0,0,0,0,0,100,4.00,4.00,1.30,5.00,9.50,1.38,1.81,2.95,6.50,2.10,1.71,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1623610800,Jun 13 2021 - 7:00pm,complete,N/A,Atlético Mineiro,São Paulo,Anderson Daronco,3,0.00,0.00,2.74,0.95,1,0,1,1,1,0,"17","",4,5,0,0,1,0,0,0,1,0,10,6,3,0,7,6,11,25,42,58,1.44,1.70,1.13,0.61,2.50,50,100,50,0,0,0,100,50,100,17.00,7.00,2.38,3.00,3.20,1.38,2.15,3.75,7.25,1.91,1.83,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1623610800,Jun 13 2021 - 7:00pm,complete,N/A,Grêmio,Atlético PR,Ricardo Marques Ribeiro,3,0.00,3.00,1.58,0.95,0,1,1,1,0,1,"","44",6,4,5,0,4,0,1,4,1,3,11,11,2,5,9,6,20,11,63,37,0.00,1.39,1.36,1.29,1.50,0,50,50,0,0,0,0,50,50,1.00,2.00,1.95,3.10,4.33,1.38,2.20,4.35,8.50,2.20,1.65,Arena do Grêmio (Porto Alegre- Rio Grande do Sul)
1623627000,Jun 13 2021 - 11:30pm,complete,N/A,Fortaleza,Sport Recife,Braulio da Silva Machado,3,3.00,1.00,1.95,0.84,1,0,1,0,0,0,"79","",3,3,3,0,3,1,1,2,2,2,14,6,8,0,6,6,22,16,58,42,1.82,1.17,1.73,0.57,5.00,100,100,100,100,50,100,100,100,100,2.00,3.00,1.69,3.45,5.75,1.51,2.45,4.50,9.50,2.40,1.54,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1623627000,Jun 13 2021 - 11:30pm,complete,N/A,Bahia,Internacional,Wagner do Nascimento Magalhaes,3,3.00,0.00,1.53,0.95,0,1,1,1,0,1,"","31",6,5,4,0,4,1,2,2,1,4,15,6,4,4,11,2,13,16,67,33,0.89,0.83,1.71,0.95,4.50,50,100,100,50,50,50,50,100,100,8.00,11.00,2.60,3.15,2.80,1.39,2.05,3.45,6.50,1.83,1.91,Estádio Governador Roberto Santos (Salvador de Bahia- Bahia)
1623627000,Jun 13 2021 - 11:30pm,complete,N/A,Bragantino,Fluminense,Leandro Pedro Vuaden,3,1.00,1.00,1.58,0.84,2,2,4,2,2,0,"6,45'3","75,90'3",10,10,3,0,1,0,2,1,1,0,17,16,6,5,11,11,9,9,47,53,2.84,1.42,1.85,1.82,3.00,50,50,50,50,50,50,50,50,50,14.00,4.00,1.95,3.45,3.90,1.39,2.10,3.50,6.75,1.91,1.83,Estádio Nabi Abi Chedid (Bragança Paulista- São Paulo)
1623627000,Jun 13 2021 - 11:30pm,complete,N/A,Chapecoense,Ceará,Vinicius Gonçalves Dias Araujo,3,0.00,0.00,0.32,0.68,0,0,0,0,0,0,"","",2,7,2,0,2,0,0,2,1,1,9,17,4,9,5,8,16,14,38,62,1.14,1.18,1.14,2.12,3.50,50,100,100,50,0,100,100,50,100,6.00,2.00,3.15,3.00,2.45,1.49,2.30,3.95,7.75,2.00,1.74,Arena Condá (Chapecó- Santa Catarina)
1623880800,Jun 16 2021 - 10:00pm,complete,N/A,São Paulo,Chapecoense,Dyorgines José Padovani Andrade,4,1.00,0.00,1.58,0.47,1,1,2,1,1,0,"13","70",9,1,3,1,2,0,1,3,0,2,10,8,4,4,6,4,9,13,51,49,1.46,0.96,1.26,1.02,2.00,50,50,50,50,0,50,50,0,50,7.00,1.00,1.34,5.25,8.25,1.34,1.91,3.25,6.25,2.35,1.56,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1623880800,Jun 16 2021 - 10:00pm,complete,N/A,Internacional,Atlético Mineiro,Luiz Flavio De Oliveira,4,1.00,3.00,1.58,1.68,0,1,1,1,0,1,"","2",8,1,3,0,1,0,2,1,1,0,9,7,2,3,7,4,13,13,57,43,1.60,1.08,1.32,0.83,2.50,50,50,50,50,0,50,100,50,50,13.00,6.00,2.60,3.15,2.80,1.43,2.15,3.65,7.00,1.91,1.83,Estádio José Pinheiro Borda (Porto Alegre- Rio Grande do Sul)
1623886200,Jun 16 2021 - 11:30pm,complete,N/A,Corinthians,Bragantino,Thiago Luis Scarascati,4,0.00,3.00,1.84,1.37,1,2,3,1,1,0,"19","52,85",9,12,2,0,0,0,0,2,0,0,4,17,3,6,1,11,13,15,42,58,1.67,2.68,0.62,1.90,2.00,0,50,50,0,0,50,100,0,50,17.00,5.00,2.65,3.00,2.85,1.53,2.40,4.25,8.25,2.10,1.69,Neo Química Arena (São Paulo- São Paulo)
