timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1556391600,Apr 27 2019 - 7:00pm,complete,26533,São Paulo,Botafogo,Caio Max Augusto Vieira,1,0.00,0.00,1.89,0.74,2,0,2,1,1,0,"41,83","",3,2,0,0,4,0,0,0,3,1,6,5,5,3,1,2,23,7,28,72,0.00,0.00,1.03,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.48,5.20,1.40,2.25,4.33,10.00,2.10,1.66,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1556402400,Apr 27 2019 - 10:00pm,complete,10531,Atlético Mineiro,Avaí,Rodolpho Toski Marques,1,0.00,0.00,1.68,0.42,2,1,3,1,1,0,"45'2,53","46",4,4,0,0,1,0,0,0,0,1,12,7,4,3,8,4,12,18,60,40,0.00,0.00,1.38,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.02,6.55,1.31,2.10,3.90,7.30,2.10,1.66,Estádio Raimundo Sampaio
1556402400,Apr 27 2019 - 10:00pm,complete,8231,Chapecoense,Internacional,Raphael Claus,1,0.00,0.00,0.89,0.95,2,0,2,1,1,0,"45'2,88","",3,5,1,0,1,0,0,1,1,0,12,17,8,8,4,9,15,11,43,57,0.00,0.00,1.52,2.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.08,2.92,2.68,1.57,2.70,6.00,15.00,2.25,1.57,Arena Condá
1556409600,Apr 28 2019 - 12:00am,complete,35016,Flamengo,Cruzeiro,Anderson Daronco,1,0.00,0.00,2.79,0.68,3,1,4,2,1,1,"41,67,90","40",6,2,4,0,5,1,1,3,1,5,11,2,6,2,5,0,13,17,57,43,0.00,0.00,1.64,0.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.00,3.50,1.50,2.61,5.00,11.00,2.10,1.66,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1556460000,Apr 28 2019 - 2:00pm,complete,32318,Grêmio,Santos,Bruno Arleu de Araujo,1,0.00,0.00,2.05,1.47,1,2,3,2,0,2,"90'3","6,35",12,2,3,0,4,1,2,1,0,5,20,9,12,6,8,3,12,18,62,38,0.00,0.00,2.62,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.35,5.20,1.50,2.50,4.95,11.00,2.30,1.56,Arena do Grêmio
1556478000,Apr 28 2019 - 7:00pm,complete,12550,Ceará,CSA,N/A,1,0.00,0.00,1.58,0.47,4,0,4,2,2,0,"21,34,81,89","",3,6,0,0,0,1,0,0,1,0,14,7,9,2,5,5,15,4,54,46,0.00,0.00,1.97,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.35,4.45,1.43,2.30,4.40,10.00,2.10,1.67,Estádio Governador Plácido Aderaldo Castelo
1556478000,Apr 28 2019 - 7:00pm,complete,29215,Bahia,Corinthians,Wilton Pereira Sampaio,1,0.00,0.00,1.53,1.00,3,2,5,2,1,1,"45'4,76,84","45'2,90'5",4,4,1,0,4,0,0,1,1,3,15,7,7,4,8,3,17,5,43,57,0.00,0.00,1.82,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.15,3.40,1.51,2.60,5.15,11.00,2.20,1.61,Arena Fonte Nova
1556478000,Apr 28 2019 - 7:00pm,complete,11108,Atlético PR,Vasco da Gama,Luiz Flavio De Oliveira,1,0.00,0.00,2.05,1.16,4,1,5,2,2,0,"3,45,66,86","89",4,0,1,0,1,0,0,1,0,1,17,11,11,5,6,6,15,18,57,43,0.00,0.00,2.13,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,4.00,6.85,1.37,2.15,3.95,9.00,2.25,1.57,Estádio Joaquim Américo Guimarães
1556488800,Apr 28 2019 - 10:00pm,complete,26701,Palmeiras,Fortaleza,Braulio da Silva Machado,1,0.00,0.00,2.26,0.95,4,0,4,1,1,0,"17,59,71,90'1","",6,1,1,0,2,0,1,0,1,1,15,8,10,6,5,2,12,16,52,48,0.00,0.00,2.30,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.75,8.25,1.28,1.91,3.25,5.75,2.10,1.65,Allianz Parque
1556488800,Apr 28 2019 - 10:00pm,complete,17420,Fluminense,Goiás,Dewson Fernando Freitas da Silva,1,0.00,0.00,1.32,0.84,0,1,1,0,0,0,"","89",5,5,4,0,1,0,0,4,0,1,12,9,4,3,8,6,14,9,71,29,0.00,0.00,1.70,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.55,4.75,1.38,2.20,4.10,9.00,2.05,1.71,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1556737200,May 01 2019 - 7:00pm,complete,40588,Internacional,Flamengo,Flavio Rodrigues De Souza,2,0.00,0.00,2.05,1.95,2,1,3,1,1,0,"5,77","60",4,5,3,0,2,0,2,1,0,2,14,7,8,6,6,1,8,10,45,55,0.00,0.00,1.80,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.15,3.35,1.43,2.30,4.40,10.00,1.95,1.77,Estádio José Pinheiro Borda
1556737200,May 01 2019 - 7:00pm,complete,30442,Corinthians,Chapecoense,Ricardo Marques Ribeiro,2,0.00,0.00,1.95,0.79,1,0,1,0,0,0,"55","",7,2,2,0,1,0,1,1,0,1,7,7,5,2,2,5,14,10,51,49,0.00,0.00,1.20,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.35,6.50,1.54,2.65,5.40,13.00,2.55,1.47,Arena Corinthians
1556737200,May 01 2019 - 7:00pm,complete,15735,CSA,Palmeiras,Caio Max Augusto Vieira,2,0.00,0.00,1.21,1.63,1,1,2,1,0,1,"63","9",-1,-1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,9,10,50,50,0.00,0.00,0.48,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.70,3.85,1.51,1.43,2.30,4.35,10.00,2.45,1.50,Estádio Rei Pelé
1556748900,May 01 2019 - 10:15pm,complete,22677,Cruzeiro,Ceará,Wagner Reway,2,0.00,0.00,1.21,0.47,1,0,1,0,0,0,"50","",2,3,1,0,0,0,1,0,0,0,9,9,5,5,4,4,10,12,58,42,0.00,0.00,1.33,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,3.80,8.00,1.36,2.10,3.90,7.50,2.25,1.59,Estádio Governador Magalhães Pinto
1556748900,May 01 2019 - 10:15pm,complete,12181,Avaí,Grêmio,Wagner do Nascimento Magalhaes,2,0.00,0.00,0.63,1.37,1,1,2,1,0,1,"85","45",11,4,4,0,3,0,2,2,1,2,12,4,4,3,8,1,15,17,43,57,0.00,0.00,1.41,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.65,3.10,2.15,1.50,2.55,5.05,9.00,2.15,1.65,Estádio Aderbal Ramos da Silva
1556757000,May 02 2019 - 12:30am,complete,20578,Fortaleza,Atlético PR,Marcelo de Lima Henrique,2,0.00,0.00,1.84,1.32,2,1,3,2,1,1,"2,76","22",2,7,3,0,3,0,1,2,1,2,14,10,6,5,8,5,12,19,36,64,0.00,0.00,1.57,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.10,2.20,1.43,2.30,4.35,8.00,2.00,1.77,Estádio Governador Plácido Aderaldo Castelo
